               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.6337,              15.253,              1.1108,              0.7858,             0.56643,             0.66228,             0.30248,                   0,                   0,                   0,            0.070053,           0.0033274,           0.0033274
                   1,               2.977,              3.3969,              1.1157,             0.68578,             0.62238,             0.65705,             0.29815,                   0,                   0,                   0,            0.040051,           0.0066581,           0.0066581
                   2,              3.2532,              3.6148,              1.1644,             0.53333,             0.45455,             0.44538,             0.12659,                   0,                   0,                   0,            0.010045,           0.0099862,           0.0099862
                   3,              3.4253,              3.4364,              1.2028,             0.63246,             0.30084,               0.345,             0.14556,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   4,              3.3245,              3.2304,              1.2017,             0.53912,             0.48951,             0.51653,             0.14819,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   5,              3.1445,              2.8939,              1.1623,             0.66438,             0.41531,             0.45648,             0.22518,                   0,                   0,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,              3.0367,               2.782,              1.1843,             0.65561,             0.55912,             0.58587,             0.26908,                   0,                   0,                   0,           0.0099802,           0.0099802,           0.0099802
                   7,              2.8373,              2.6068,               1.118,             0.85363,             0.62238,             0.70743,             0.32665,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   8,              2.8446,               2.449,              1.1432,             0.64986,             0.58406,             0.52753,             0.26169,                   0,                   0,                   0,           0.0099723,           0.0099723,           0.0099723
                   9,              2.7609,              2.5159,              1.1219,             0.84141,             0.59441,             0.66349,             0.32276,                   0,                   0,                   0,           0.0099683,           0.0099683,           0.0099683
                  10,              2.7861,              2.4435,              1.1271,             0.74972,             0.63636,             0.70375,             0.37035,                   0,                   0,                   0,           0.0099644,           0.0099644,           0.0099644
                  11,              2.6107,              2.2828,              1.1078,             0.87562,              0.5908,             0.70029,             0.36825,                   0,                   0,                   0,           0.0099604,           0.0099604,           0.0099604
                  12,              2.6386,              2.2444,              1.1034,             0.81277,             0.63748,             0.68795,             0.35442,                   0,                   0,                   0,           0.0099564,           0.0099564,           0.0099564
                  13,              2.5678,              2.1161,              1.0849,             0.77847,             0.62238,             0.70897,             0.38699,                   0,                   0,                   0,           0.0099525,           0.0099525,           0.0099525
                  14,               2.552,               2.115,              1.1038,             0.80476,             0.65035,             0.73615,             0.41821,                   0,                   0,                   0,           0.0099485,           0.0099485,           0.0099485
                  15,              2.4792,              2.0718,                 1.1,             0.90343,             0.58042,             0.71016,             0.39006,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                  16,              2.4912,              2.0599,              1.0935,             0.77707,             0.69231,             0.74848,             0.42652,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                  17,              2.4679,              1.9991,               1.083,             0.84545,             0.68861,             0.76759,             0.42586,                   0,                   0,                   0,           0.0099366,           0.0099366,           0.0099366
                  18,               2.453,              1.9523,              1.0932,             0.91737,             0.65035,             0.75719,             0.39271,                   0,                   0,                   0,           0.0099327,           0.0099327,           0.0099327
                  19,              2.3874,              1.9059,              1.0798,              0.8705,             0.66434,             0.76013,             0.41088,                   0,                   0,                   0,           0.0099287,           0.0099287,           0.0099287
                  20,              2.3579,              1.8355,               1.072,             0.80784,             0.73497,             0.80449,             0.46465,                   0,                   0,                   0,           0.0099248,           0.0099248,           0.0099248
                  21,              2.3909,              1.7999,              1.0751,             0.80895,             0.68531,             0.74785,             0.41546,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                  22,              2.4149,              1.9219,              1.1038,             0.88631,             0.70629,             0.79899,             0.47226,                   0,                   0,                   0,           0.0099168,           0.0099168,           0.0099168
