               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.8076,              33.947,              1.0079,             0.41566,             0.11765,             0.12647,            0.041752,                   0,                   0,                   0,            0.070297,           0.0033003,           0.0033003
                   1,              3.7448,              7.0473,              1.0611,             0.17458,             0.14706,            0.078737,            0.018817,                   0,                   0,                   0,            0.040294,            0.006631,            0.006631
                   2,              4.3043,              4.5752,              1.1261,            0.023256,            0.029412,            0.013888,           0.0041665,                   0,                   0,                   0,            0.010289,           0.0099591,           0.0099591
                   3,              4.4998,              3.9308,              1.1142,            0.026213,            0.029412,           0.0016068,          0.00067331,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   4,              4.4048,              3.4603,              1.1308,              0.0357,            0.029412,           0.0033231,          0.00033231,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   5,               4.052,              2.9568,              1.0947,              0.9381,            0.088235,            0.088416,             0.03488,                   0,                   0,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,              3.9716,              2.8295,               1.051,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099802,           0.0099802,           0.0099802
                   7,              3.7545,              2.6422,              1.0828,             0.71955,             0.11765,             0.11685,            0.041677,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   8,              3.8432,              2.6352,              1.0655,             0.32647,             0.11765,             0.14556,            0.044504,                   0,                   0,                   0,           0.0099723,           0.0099723,           0.0099723
                   9,              3.9633,              2.6432,              1.0838,             0.31976,             0.14706,             0.10494,             0.02534,                   0,                   0,                   0,           0.0099683,           0.0099683,           0.0099683
                  10,              3.6485,              2.4088,              1.0632,             0.88677,            0.088235,             0.11152,             0.04752,                   0,                   0,                   0,           0.0099644,           0.0099644,           0.0099644
                  11,              3.6208,              2.3946,              1.0323,             0.72065,             0.22815,             0.26919,            0.065345,                   0,                   0,                   0,           0.0099604,           0.0099604,           0.0099604
                  12,              3.6527,              2.3626,              1.0597,             0.38141,             0.19976,             0.17492,            0.048173,                   0,                   0,                   0,           0.0099564,           0.0099564,           0.0099564
                  13,              3.3367,              2.3005,              1.0263,             0.85135,             0.14706,             0.20123,            0.056467,                   0,                   0,                   0,           0.0099525,           0.0099525,           0.0099525
                  14,              3.4062,              2.2406,              1.0466,             0.91893,             0.11765,             0.13771,            0.052342,                   0,                   0,                   0,           0.0099485,           0.0099485,           0.0099485
                  15,              3.4296,              2.0883,              1.0887,              0.6449,             0.20588,              0.2081,            0.079091,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                  16,              3.1811,              1.9822,              1.0207,             0.39078,             0.17647,             0.17947,            0.060393,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                  17,              3.2625,              1.9959,              1.0518,             0.75824,             0.17647,             0.24293,             0.11195,                   0,                   0,                   0,           0.0099366,           0.0099366,           0.0099366
                  18,              3.2747,              2.1763,              1.0423,             0.27568,             0.17647,             0.14953,            0.075999,                   0,                   0,                   0,           0.0099327,           0.0099327,           0.0099327
                  19,              3.0839,              2.0347,              1.0179,             0.28205,             0.32353,             0.36398,              0.1442,                   0,                   0,                   0,           0.0099287,           0.0099287,           0.0099287
                  20,              3.3036,              1.9779,               1.062,             0.68223,             0.14706,             0.20408,            0.078384,                   0,                   0,                   0,           0.0099248,           0.0099248,           0.0099248
                  21,              3.0754,              1.9886,              1.0394,             0.57141,             0.19662,              0.2315,            0.061498,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                  22,              3.0231,               1.782,              1.0124,             0.95015,             0.14706,             0.20141,            0.083632,                   0,                   0,                   0,           0.0099168,           0.0099168,           0.0099168
                  23,              3.2004,              1.9675,              1.0486,             0.38431,             0.14706,             0.15347,            0.062658,                   0,                   0,                   0,           0.0099129,           0.0099129,           0.0099129
                  24,              3.0941,              1.8961,              1.0269,             0.24729,             0.20588,             0.14402,            0.059565,                   0,                   0,                   0,           0.0099089,           0.0099089,           0.0099089
                  25,               3.053,              1.8914,              1.0406,             0.74948,             0.17605,             0.25586,            0.064905,                   0,                   0,                   0,            0.009905,            0.009905,            0.009905
                  26,              3.0453,              1.8451,              1.0085,             0.39094,             0.20588,             0.21667,            0.094601,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                  27,              3.0658,              1.8382,              1.0674,             0.32451,             0.22634,             0.21648,            0.091202,                   0,                   0,                   0,            0.009897,            0.009897,            0.009897
                  28,              2.8801,              1.7048,             0.97155,             0.57254,             0.17647,             0.22637,            0.097854,                   0,                   0,                   0,           0.0098931,           0.0098931,           0.0098931
                  29,              3.0319,              1.8719,              1.0378,             0.30702,             0.20859,             0.23013,            0.077134,                   0,                   0,                   0,           0.0098891,           0.0098891,           0.0098891
                  30,              2.8564,              1.7022,              1.0113,             0.37641,             0.20588,             0.23601,             0.10604,                   0,                   0,                   0,           0.0098852,           0.0098852,           0.0098852
                  31,              2.8898,              1.8838,              1.0004,             0.36587,             0.17647,             0.18649,            0.057732,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                  32,              2.9007,              1.7644,              1.0094,             0.51692,             0.23529,             0.21484,              0.0444,                   0,                   0,                   0,           0.0098772,           0.0098772,           0.0098772
