               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.3505,              9.9212,              1.3915,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070106,           0.0033215,           0.0033215
                   1,              4.2247,              4.7781,              1.3152,           0.0074908,            0.020979,           0.0012151,          0.00024824,                   0,                   0,                   0,            0.040104,           0.0066522,           0.0066522
                   2,              4.0514,              4.7668,              1.2887,             0.17884,             0.12794,            0.090627,            0.033511,                   0,                   0,                   0,            0.010098,           0.0099803,           0.0099803
                   3,              3.7231,              4.1571,               1.253,             0.34538,            0.062937,             0.12508,            0.052472,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   4,              3.5985,              4.0813,              1.2401,             0.44605,             0.13986,             0.15067,            0.032506,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   5,              3.4976,              3.9338,              1.2109,             0.45075,             0.15385,             0.22477,            0.081925,                   0,                   0,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,              3.3978,              3.9492,               1.203,             0.26541,             0.24257,             0.16742,            0.074595,                   0,                   0,                   0,           0.0099802,           0.0099802,           0.0099802
                   7,              3.4497,              3.8367,              1.1949,             0.73301,             0.25874,             0.32044,              0.1025,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   8,              3.3207,              3.7296,              1.1825,           0.0017626,            0.076923,          0.00093389,          0.00049169,                   0,                   0,                   0,           0.0099723,           0.0099723,           0.0099723
                   9,              3.3758,              3.7499,              1.1897,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099683,           0.0099683,           0.0099683
                  10,              3.3614,               3.756,              1.1971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099644,           0.0099644,           0.0099644
                  11,                 3.3,              3.5885,              1.1817,             0.45082,             0.28671,             0.26366,             0.11487,                   0,                   0,                   0,           0.0099604,           0.0099604,           0.0099604
                  12,              3.3005,              3.6484,              1.1864,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099564,           0.0099564,           0.0099564
                  13,              3.2363,              3.6489,              1.1723,             0.16447,             0.17483,             0.14664,            0.071658,                   0,                   0,                   0,           0.0099525,           0.0099525,           0.0099525
                  14,              3.2051,              3.6157,              1.1617,             0.60604,             0.36364,             0.43129,             0.18855,                   0,                   0,                   0,           0.0099485,           0.0099485,           0.0099485
                  15,              3.0277,              3.3788,               1.156,             0.66928,             0.36797,             0.45773,             0.22961,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                  16,              3.1356,              3.3919,              1.1733,             0.58894,             0.17483,             0.30017,             0.13244,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                  17,              3.0697,              3.3597,              1.1533,            0.015194,            0.013986,          0.00069116,          7.7963e-05,                   0,                   0,                   0,           0.0099366,           0.0099366,           0.0099366
                  18,              3.0175,              3.2764,              1.1522,              0.5291,             0.32215,             0.38755,              0.1841,                   0,                   0,                   0,           0.0099327,           0.0099327,           0.0099327
                  19,              3.0754,              3.2969,              1.1518,             0.26085,             0.15056,            0.081808,            0.039927,                   0,                   0,                   0,           0.0099287,           0.0099287,           0.0099287
                  20,              3.1105,              3.2673,              1.1645,             0.52077,             0.33566,             0.34674,             0.14556,                   0,                   0,                   0,           0.0099248,           0.0099248,           0.0099248
                  21,              3.0284,              3.1407,               1.157,             0.59458,             0.42657,             0.45866,             0.20258,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                  22,              3.0213,              3.2264,              1.1569,             0.58239,             0.41259,             0.48442,             0.24072,                   0,                   0,                   0,           0.0099168,           0.0099168,           0.0099168
                  23,              3.0262,              3.1749,              1.1448,             0.85812,             0.41259,             0.52819,             0.26531,                   0,                   0,                   0,           0.0099129,           0.0099129,           0.0099129
                  24,              2.9467,              3.1502,              1.1295,             0.41642,             0.46154,             0.46833,             0.23924,                   0,                   0,                   0,           0.0099089,           0.0099089,           0.0099089
                  25,              2.9054,              3.1078,              1.1439,             0.59397,             0.41958,             0.43744,             0.22469,                   0,                   0,                   0,            0.009905,            0.009905,            0.009905
                  26,              2.8869,              2.9793,              1.1344,              0.3618,             0.13287,             0.11403,            0.026154,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                  27,              2.9327,               3.081,              1.1401,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009897,            0.009897,            0.009897
                  28,              2.9526,              3.0103,              1.1579,             0.66996,             0.29813,             0.40762,             0.20892,                   0,                   0,                   0,           0.0098931,           0.0098931,           0.0098931
                  29,              2.8673,              3.0298,              1.1377,             0.65806,             0.43357,             0.51212,              0.2292,                   0,                   0,                   0,           0.0098891,           0.0098891,           0.0098891
                  30,              2.8944,              2.9792,              1.1412,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098852,           0.0098852,           0.0098852
                  31,              3.0093,              3.2134,              1.1575,             0.59422,             0.39161,              0.4526,              0.1862,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                  32,              2.8602,              2.9758,               1.127,             0.59436,              0.2869,             0.30187,             0.12434,                   0,                   0,                   0,           0.0098772,           0.0098772,           0.0098772
