               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.3726,              35.202,              1.3978,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070297,           0.0033003,           0.0033003
                   1,              4.1921,              3.6446,              1.2945,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040294,            0.006631,            0.006631
                   2,                4.02,              3.4855,              1.2486,             0.41922,             0.11765,             0.06705,            0.018418,                   0,                   0,                   0,            0.010289,           0.0099591,           0.0099591
                   3,              3.8339,              3.0515,              1.1943,             0.12482,            0.058824,            0.024214,            0.009996,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   4,              3.7362,              2.8057,               1.212,             0.49244,             0.17647,             0.17085,            0.065481,                   0,                   0,                   0,           0.0099881,           0.0099881,           0.0099881
                   5,              3.5472,              2.7087,              1.1721,             0.65705,             0.29412,             0.28755,             0.12709,                   0,                   0,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,              3.4704,              2.5049,               1.148,             0.40111,             0.20588,             0.24348,              0.1104,                   0,                   0,                   0,           0.0099802,           0.0099802,           0.0099802
                   7,              3.2466,              2.5445,              1.1538,             0.59975,             0.26471,              0.2882,             0.10468,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   8,              3.0857,              2.6599,              1.1153,             0.72742,             0.26471,             0.30541,             0.14476,                   0,                   0,                   0,           0.0099723,           0.0099723,           0.0099723
                   9,                3.04,              2.4642,              1.1159,             0.86987,             0.26471,             0.31222,             0.15513,                   0,                   0,                   0,           0.0099683,           0.0099683,           0.0099683
                  10,              2.9782,              2.1417,              1.0896,             0.95938,             0.20588,             0.27657,             0.13406,                   0,                   0,                   0,           0.0099644,           0.0099644,           0.0099644
                  11,              3.0257,              2.0745,              1.1023,             0.32204,             0.29412,             0.17466,            0.072983,                   0,                   0,                   0,           0.0099604,           0.0099604,           0.0099604
                  12,              2.8638,              2.2759,              1.0874,             0.57315,             0.29412,             0.29786,             0.14007,                   0,                   0,                   0,           0.0099564,           0.0099564,           0.0099564
                  13,              2.8095,              1.9759,              1.0895,             0.59439,             0.11765,             0.19503,            0.097653,                   0,                   0,                   0,           0.0099525,           0.0099525,           0.0099525
                  14,              2.7662,              1.9348,              1.0727,             0.11107,            0.058824,            0.037226,            0.018409,                   0,                   0,                   0,           0.0099485,           0.0099485,           0.0099485
                  15,              2.8348,              1.9425,              1.0872,             0.76573,             0.28877,              0.3169,             0.13576,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                  16,              2.6941,              1.8229,              1.0685,             0.86681,             0.26471,             0.30709,             0.14452,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                  17,              2.7438,              1.9266,              1.0681,             0.85413,             0.26471,             0.28607,             0.12017,                   0,                   0,                   0,           0.0099366,           0.0099366,           0.0099366
                  18,              2.6101,              1.7944,              1.0672,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099327,           0.0099327,           0.0099327
                  19,              2.7224,              1.7964,              1.0852,             0.96054,            0.029412,            0.037243,            0.018621,                   0,                   0,                   0,           0.0099287,           0.0099287,           0.0099287
                  20,              2.4982,              1.6892,              1.0535,             0.59466,             0.30238,              0.3932,             0.18328,                   0,                   0,                   0,           0.0099248,           0.0099248,           0.0099248
                  21,              2.5328,              1.6279,              1.0722,             0.68834,             0.14706,             0.16999,            0.089674,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                  22,              2.5023,              1.6791,              1.0582,             0.99752,             0.32353,             0.37812,             0.18348,                   0,                   0,                   0,           0.0099168,           0.0099168,           0.0099168
                  23,              2.6689,              1.8006,              1.0743,           0.0015083,            0.088235,           0.0091925,          0.00091925,                   0,                   0,                   0,           0.0099129,           0.0099129,           0.0099129
                  24,              2.5536,              1.7221,              1.0501,             0.92008,             0.26471,             0.36966,             0.19128,                   0,                   0,                   0,           0.0099089,           0.0099089,           0.0099089
                  25,              2.4615,              1.7875,              1.0677,             0.85366,             0.32353,             0.36721,             0.16816,                   0,                   0,                   0,            0.009905,            0.009905,            0.009905
                  26,              2.5523,              1.7661,               1.043,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                  27,              2.5157,               1.723,              1.0635,             0.21739,             0.44118,                0.33,             0.17066,                   0,                   0,                   0,            0.009897,            0.009897,            0.009897
                  28,              2.5206,              1.6689,              1.0411,             0.19048,             0.47059,             0.30685,             0.16207,                   0,                   0,                   0,           0.0098931,           0.0098931,           0.0098931
                  29,              2.5051,               1.769,              1.0483,             0.87523,             0.32353,              0.3478,             0.16417,                   0,                   0,                   0,           0.0098891,           0.0098891,           0.0098891
                  30,              2.4294,               1.556,              1.0583,             0.48999,             0.28293,             0.28864,             0.14689,                   0,                   0,                   0,           0.0098852,           0.0098852,           0.0098852
                  31,               2.569,              1.5728,              1.0522,             0.75468,             0.29412,             0.30015,              0.1348,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                  32,              2.4547,              1.6322,               1.053,             0.90474,             0.14706,             0.22366,             0.12714,                   0,                   0,                   0,           0.0098772,           0.0098772,           0.0098772
                  33,              2.3987,              1.5833,               1.059,              0.5906,             0.29412,             0.34354,             0.18781,                   0,                   0,                   0,           0.0098733,           0.0098733,           0.0098733
                  34,              2.3509,              1.4812,                1.03,             0.91877,             0.26471,             0.42205,             0.21639,                   0,                   0,                   0,           0.0098693,           0.0098693,           0.0098693
                  35,              2.4626,              1.6651,              1.0479,             0.88762,            0.088235,            0.086839,            0.043989,                   0,                   0,                   0,           0.0098654,           0.0098654,           0.0098654
                  36,              2.4282,              1.5437,              1.0574,             0.99979,             0.29412,             0.37736,             0.20315,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                  37,              2.4652,               1.518,               1.051,              0.7947,             0.26471,             0.30217,             0.15375,                   0,                   0,                   0,           0.0098574,           0.0098574,           0.0098574
                  38,              2.3033,              1.4679,              1.0583,             0.59918,             0.29412,             0.33921,             0.20651,                   0,                   0,                   0,           0.0098535,           0.0098535,           0.0098535
                  39,              2.3543,               1.448,              1.0465,             0.52155,             0.38235,             0.39255,             0.19664,                   0,                   0,                   0,           0.0098495,           0.0098495,           0.0098495
                  40,              2.4058,              1.5899,               1.052,             0.84058,             0.31074,             0.38877,             0.18604,                   0,                   0,                   0,           0.0098456,           0.0098456,           0.0098456
                  41,              2.4274,              1.5383,              1.0404,             0.65097,             0.11765,             0.17364,              0.1084,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  42,              2.3247,              1.5035,               1.045,             0.71249,             0.20588,              0.3726,             0.21617,                   0,                   0,                   0,           0.0098376,           0.0098376,           0.0098376
                  43,              2.2713,               1.441,              1.0528,              0.5416,             0.32353,             0.32426,             0.15349,                   0,                   0,                   0,           0.0098337,           0.0098337,           0.0098337
                  44,               2.473,              1.7126,              1.0437,               0.743,             0.26471,             0.30891,             0.18161,                   0,                   0,                   0,           0.0098297,           0.0098297,           0.0098297
                  45,               2.414,              1.4785,              1.0312,             0.14392,            0.058824,            0.015426,           0.0032733,                   0,                   0,                   0,           0.0098258,           0.0098258,           0.0098258
                  46,              2.3276,              1.5174,              1.0483,             0.81972,             0.35294,             0.40339,             0.21392,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  47,              2.2382,              1.4266,              1.0364,             0.45912,             0.17647,             0.19284,            0.097455,                   0,                   0,                   0,           0.0098178,           0.0098178,           0.0098178
                  48,              2.3134,              1.4808,              1.0386,             0.94427,             0.26471,             0.33509,             0.19278,                   0,                   0,                   0,           0.0098139,           0.0098139,           0.0098139
                  49,              2.3995,              1.7065,              1.0511,             0.87595,             0.29412,             0.31681,             0.15582,                   0,                   0,                   0,           0.0098099,           0.0098099,           0.0098099
                  50,              2.3819,              1.3629,              1.0376,             0.94284,             0.26471,             0.34146,             0.17954,                   0,                   0,                   0,            0.009806,            0.009806,            0.009806
                  51,              2.3332,              1.4529,              1.0312,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
